local_name	title	artist	license_short	landscape_score	license_url	source_page	original_url	description
113301247_Pieve_di_Cento_-_Palazzo_Comunale.jpg	File:Pieve di Cento - Palazzo Comunale.jpg	Ingo Mehling	CC BY-SA 4.0	9	https://creativecommons.org/licenses/by-sa/4.0	https://commons.wikimedia.org/wiki/File:Pieve_di_Cento_-_Palazzo_Comunale.jpg	https://upload.wikimedia.org/wikipedia/commons/7/75/Pieve_di_Cento_-_Palazzo_Comunale.jpg	Pieve di Cento / Emilia-Romagna - Palazzo Comunale
72909422_Feritoia_Rocca_di_Pieve_di_Cento.jpg	File:Feritoia Rocca di Pieve di Cento.jpg	Nicola Quirico	CC BY-SA 4.0	9	https://creativecommons.org/licenses/by-sa/4.0	https://commons.wikimedia.org/wiki/File:Feritoia_Rocca_di_Pieve_di_Cento.jpg	https://upload.wikimedia.org/wikipedia/commons/1/16/Feritoia_Rocca_di_Pieve_di_Cento.jpg	Feritoia, Rocca di Pieve di Cento (Bologna)
72919403_Rocca_di_Pieve_di_Cento__Bologna__02.jpg	File:Rocca di Pieve di Cento (Bologna) 02.jpg	Nicola Quirico	CC BY-SA 4.0	9	https://creativecommons.org/licenses/by-sa/4.0	https://commons.wikimedia.org/wiki/File:Rocca_di_Pieve_di_Cento_(Bologna)_02.jpg	https://upload.wikimedia.org/wikipedia/commons/f/f6/Rocca_di_Pieve_di_Cento_%28Bologna%29_02.jpg	Rocca di Pieve di Cento (Bologna)
72919557_Rocca_di_Pieve_di_Cento__Bologna__03.jpg	File:Rocca di Pieve di Cento (Bologna) 03.jpg	Nicola Quirico	CC BY-SA 4.0	9	https://creativecommons.org/licenses/by-sa/4.0	https://commons.wikimedia.org/wiki/File:Rocca_di_Pieve_di_Cento_(Bologna)_03.jpg	https://upload.wikimedia.org/wikipedia/commons/5/51/Rocca_di_Pieve_di_Cento_%28Bologna%29_03.jpg	Rocca di Pieve di Cento (Bologna)
